message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.314664])";"30";"turtlesim3.sim";"1730222058.764756238";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.314664])";"30";"turtlesim2.sim";"1730222058.749877339";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.313127])";"30";"turtlesim3.sim";"1730222058.748677337";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.313127])";"30";"turtlesim2.sim";"1730222058.733791313";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.314669])";"30";"turtlesim1.sim";"1730222058.732619145";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.311591])";"30";"turtlesim3.sim";"1730222058.732598186";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.311591])";"30";"turtlesim2.sim";"1730222058.717707829";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.310055])";"30";"turtlesim3.sim";"1730222058.716519411";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.313133])";"30";"turtlesim1.sim";"1730222058.716134493";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.310055])";"30";"turtlesim2.sim";"1730222058.702622888";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.282400])";"30";"turtlesim2.sim";"1730222058.413901048";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.280864])";"30";"turtlesim3.sim";"1730222058.412698838";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.283942])";"30";"turtlesim1.sim";"1730222058.412082629";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.280864])";"30";"turtlesim2.sim";"1730222058.397804106";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.279328])";"30";"turtlesim3.sim";"1730222058.396589562";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.282406])";"30";"turtlesim1.sim";"1730222058.395667269";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.279328])";"30";"turtlesim2.sim";"1730222058.381716580";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.277791])";"30";"turtlesim3.sim";"1730222058.380478161";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.280869])";"30";"turtlesim1.sim";"1730222058.380349994";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.277791])";"30";"turtlesim2.sim";"1730222058.366630347";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.268573])";"30";"turtlesim2.sim";"1730222058.270094359";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.216338])";"30";"turtlesim2.sim";"1730222057.725878649";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.214802])";"30";"turtlesim3.sim";"1730222057.724737772";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.217879])";"30";"turtlesim1.sim";"1730222057.724226730";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.214802])";"30";"turtlesim2.sim";"1730222057.709746165";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.213265])";"30";"turtlesim3.sim";"1730222057.708407996";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.216343])";"30";"turtlesim1.sim";"1730222057.707781079";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.213265])";"30";"turtlesim2.sim";"1730222057.694638557";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.211729])";"30";"turtlesim3.sim";"1730222057.692989596";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.214806])";"30";"turtlesim1.sim";"1730222057.692281262";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.211729])";"30";"turtlesim2.sim";"1730222057.678552906";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.210193])";"30";"turtlesim3.sim";"1730222057.676591278";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.213270])";"30";"turtlesim1.sim";"1730222057.675833652";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.210193])";"30";"turtlesim2.sim";"1730222057.662461047";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.190220])";"30";"turtlesim2.sim";"1730222057.454287504";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.173325])";"30";"turtlesim1.sim";"1730222057.259694649";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.170248])";"30";"turtlesim2.sim";"1730222057.246365877";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.168711])";"30";"turtlesim3.sim";"1730222057.244621166";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.171788])";"30";"turtlesim1.sim";"1730222057.244420833";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.168711])";"30";"turtlesim2.sim";"1730222057.230637144";"./src/turtle.cpp:update:288"
